id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
230,Xabi Alonso,26,1977,2,0.8904,3,2.0211,20,35,6,0,D M S,Bayern Munich,2,0.8904,11.9082,11.0885,2014
265,Ragnar Klavan,34,3060,2,1.5781,0,0.2178,16,6,1,0,D,Augsburg,2,1.5781,4.764,4.5145,2014
293,Marco Russ,26,2224,2,2.4001,3,1.3628,18,11,5,0,D M,Eintracht Frankfurt,2,2.4001,6.5009,5.246,2014
312,Neven Subotic,28,2272,2,1.0892,0,0.4662,19,11,9,0,D S,Borussia Dortmund,2,1.0892,7.7699,7.4888,2014
316,Gonzalo Castro,22,1781,2,3.1018,7,4.4723,30,34,4,0,D M S,Bayer Leverkusen,2,3.1018,8.8965,3.95,2014
324,Adrián Ramos,18,707,2,2.9588,2,1.4532,19,17,0,0,F S,Borussia Dortmund,2,2.9588,5.2113,1.5184,2014
332,Joel Matip,21,1548,2,2.8508,0,0.3057,17,5,2,1,D S,Schalke 04,2,2.8508,2.4977,2.011,2014
333,Benedikt Höwedes,28,2487,2,1.5853,0,1.6978,11,7,8,0,D,Schalke 04,2,1.5853,3.8701,3.5145,2014
343,Pierre-Emile Højbjerg,24,1292,2,1.2764,3,1.7851,32,19,5,0,M S,"Augsburg,Bayern Munich",2,1.2764,3.6927,1.9822,2014
346,Roman Neustädter,29,2423,2,0.624,0,0.4414,14,9,6,0,D M S,Schalke 04,2,0.624,5.7368,5.3458,2014
349,Artur Sobiech,19,521,2,2.4382,1,0.97,11,6,0,0,F S,Hannover 96,2,2.4382,3.7186,1.497,2014
350,Felix Klaus,31,2234,2,3.4237,2,1.1111,41,17,5,0,M S,Freiburg,2,3.4237,6.3683,2.188,2014
373,Mats Hummels,24,2034,2,0.9594,0,0.5257,22,9,2,0,D S,Borussia Dortmund,2,0.9594,6.0396,5.7859,2014
387,Luiz Gustavo,31,2634,2,3.7818,0,1.063,36,19,11,0,M S,Wolfsburg,2,3.7818,12.1189,10.2835,2014
417,Tin Jedvaj,22,1664,2,1.1728,1,0.2032,16,7,6,1,D S,Bayer Leverkusen,2,1.1728,2.6982,1.9427,2014
749,Christian Fuchs,25,1713,2,0.7914,4,3.9243,16,33,3,0,D M S,Schalke 04,2,0.7914,5.2052,2.4134,2014
