Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Milieu de terrain,"24,40",127.75,12.78,2016,borussia dortmund
Attaquant,"21,13",152.0,19.0,2016,borussia dortmund
Total,"24,16",390.65,12.6,2016,borussia dortmund
Gardien,"27,33",7.2,2.4,2017,borussia dortmund
Défense,"24,38",116.0,8.92,2017,borussia dortmund
Milieu de terrain,"24,78",131.5,14.61,2017,borussia dortmund
Attaquant,"21,70",319.5,31.95,2017,borussia dortmund
Total,"23,97",574.2,16.41,2017,borussia dortmund
Gardien,"24,00",16.8,4.2,2018,borussia dortmund
Défense,"23,25",187.45,15.62,2018,borussia dortmund
Milieu de terrain,"24,70",186.0,18.6,2018,borussia dortmund
Attaquant,"21,50",253.0,31.63,2018,borussia dortmund
Total,"23,35",643.25,18.92,2018,borussia dortmund
Gardien,"23,80",13.65,2.73,2019,borussia dortmund
Défense,"24,92",188.65,15.72,2019,borussia dortmund
Milieu de terrain,"23,08",185.05,14.23,2019,borussia dortmund
Attaquant,"21,86",266.7,38.1,2019,borussia dortmund
Total,"23,54",654.05,17.68,2019,borussia dortmund
Gardien,"25,25",7.45,1.86,2020,borussia dortmund
Défense,"26,60",128.95,12.9,2020,borussia dortmund
Milieu de terrain,"23,60",208.7,20.87,2020,borussia dortmund
Attaquant,"20,75",283.3,35.41,2020,borussia dortmund
Total,"24,03",628.4,19.64,2020,borussia dortmund
Gardien,"24,50",9.05,2.26,2014,tsg 1899 hoffenheim
Défense,"22,13",21.9,2.74,2014,tsg 1899 hoffenheim
Milieu de terrain,"22,73",26.58,2.42,2014,tsg 1899 hoffenheim
Attaquant,"25,14",64.25,9.18,2014,tsg 1899 hoffenheim
Total,"23,37",121.78,4.06,2014,tsg 1899 hoffenheim
Gardien,"27,33",6.35,2.12,2015,tsg 1899 hoffenheim
Défense,"22,57",27.5,3.93,2015,tsg 1899 hoffenheim
Milieu de terrain,"23,00",17.2,1.72,2015,tsg 1899 hoffenheim
Attaquant,"24,80",39.15,3.92,2015,tsg 1899 hoffenheim
Total,"23,93",90.2,3.01,2015,tsg 1899 hoffenheim
Gardien,"25,33",7.5,2.5,2016,tsg 1899 hoffenheim
Défense,"22,90",50.6,5.06,2016,tsg 1899 hoffenheim
Milieu de terrain,"23,08",44.03,3.67,2016,tsg 1899 hoffenheim
Attaquant,"24,00",36.5,4.56,2016,tsg 1899 hoffenheim
Total,"23,45",138.63,4.2,2016,tsg 1899 hoffenheim
Gardien,"26,33",10.6,3.53,2017,tsg 1899 hoffenheim
Défense,"22,92",62.73,4.83,2017,tsg 1899 hoffenheim
Milieu de terrain,"23,00",57.7,5.77,2017,tsg 1899 hoffenheim
Attaquant,"22,40",81.73,8.17,2017,tsg 1899 hoffenheim
Total,"23,08",212.75,5.91,2017,tsg 1899 hoffenheim
Gardien,"27,33",14.1,4.7,2018,tsg 1899 hoffenheim
Défense,"23,85",101.1,7.78,2018,tsg 1899 hoffenheim
Milieu de terrain,"22,60",98.35,9.84,2018,tsg 1899 hoffenheim
Attaquant,"22,75",122.7,10.23,2018,tsg 1899 hoffenheim
Total,"23,45",336.25,8.85,2018,tsg 1899 hoffenheim
Gardien,"32,25",6.3,1.58,2019,tsg 1899 hoffenheim
Défense,"24,91",53.6,4.87,2019,tsg 1899 hoffenheim
Milieu de terrain,"24,10",66.63,6.66,2019,tsg 1899 hoffenheim
Attaquant,"24,42",99.53,8.29,2019,tsg 1899 hoffenheim
Total,"25,32",226.05,6.11,2019,tsg 1899 hoffenheim
Gardien,"25,25",5.4,1.35,2020,tsg 1899 hoffenheim
Défense,"24,64",48.1,3.44,2020,tsg 1899 hoffenheim
Milieu de terrain,"22,56",92.7,10.3,2020,tsg 1899 hoffenheim
Attaquant,"24,10",81.8,8.18,2020,tsg 1899 hoffenheim
Total,"24,05",228.0,6.16,2020,tsg 1899 hoffenheim
Gardien,"24,00",10.3,2.06,2014,eintracht frankfurt
Défense,"26,43",21.3,3.04,2014,eintracht frankfurt
Milieu de terrain,"22,91",25.95,2.36,2014,eintracht frankfurt
Attaquant,"23,71",17.1,2.44,2014,eintracht frankfurt
Total,"24,10",74.65,2.49,2014,eintracht frankfurt
Gardien,"22,25",4.8,1.2,2015,eintracht frankfurt
Défense,"24,40",23.4,2.34,2015,eintracht frankfurt
Milieu de terrain,"24,36",29.8,2.13,2015,eintracht frankfurt
Attaquant,"23,29",18.6,2.66,2015,eintracht frankfurt
Total,"23,91",76.6,2.19,2015,eintracht frankfurt
Gardien,"23,00",5.6,1.87,2016,eintracht frankfurt
Défense,"22,21",27.75,1.98,2016,eintracht frankfurt
Milieu de terrain,"24,11",23.85,2.65,2016,eintracht frankfurt
Attaquant,"23,33",15.1,1.68,2016,eintracht frankfurt
Total,"23,06",72.3,2.07,2016,eintracht frankfurt
Gardien,"26,00",10.35,3.45,2017,eintracht frankfurt
Défense,"24,20",34.25,3.43,2017,eintracht frankfurt
Milieu de terrain,"23,60",38.85,2.59,2017,eintracht frankfurt
Attaquant,"23,63",42.7,5.34,2017,eintracht frankfurt
Total,"23,97",126.15,3.5,2017,eintracht frankfurt
Gardien,"26,20",12.55,2.51,2018,eintracht frankfurt
Défense,"23,93",92.45,6.16,2018,eintracht frankfurt
Milieu de terrain,"23,63",61.05,3.21,2018,eintracht frankfurt
Attaquant,"22,38",147.45,18.43,2018,eintracht frankfurt
Total,"23,79",313.5,6.67,2018,eintracht frankfurt
