Position,Valeur maximum,Years,Crew
Milieu,0.325,2019,fc-cordoba
Attaquant,0.325,2019,fc-cordoba
Total,0.4,2019,fc-cordoba
Gardien,0.3,2020,fc-cordoba
Défense,0.4,2020,fc-cordoba
Milieu,0.25,2020,fc-cordoba
Attaquant,0.35,2020,fc-cordoba
Total,0.4,2020,fc-cordoba
Gardien,1.5,2014,real-betis-sevilla
Défense,1.5,2014,real-betis-sevilla
Milieu,3.5,2014,real-betis-sevilla
Attaquant,2.5,2014,real-betis-sevilla
Total,3.5,2014,real-betis-sevilla
Gardien,3.0,2015,real-betis-sevilla
Défense,3.0,2015,real-betis-sevilla
Milieu,5.0,2015,real-betis-sevilla
Attaquant,3.5,2015,real-betis-sevilla
Total,5.0,2015,real-betis-sevilla
Gardien,8.0,2016,real-betis-sevilla
Défense,6.0,2016,real-betis-sevilla
Milieu,10.0,2016,real-betis-sevilla
Attaquant,5.0,2016,real-betis-sevilla
Total,10.0,2016,real-betis-sevilla
Gardien,5.0,2017,real-betis-sevilla
Défense,17.5,2017,real-betis-sevilla
Milieu,20.0,2017,real-betis-sevilla
Attaquant,7.5,2017,real-betis-sevilla
Total,20.0,2017,real-betis-sevilla
Gardien,20.0,2018,real-betis-sevilla
Défense,25.0,2018,real-betis-sevilla
Milieu,50.0,2018,real-betis-sevilla
Attaquant,14.0,2018,real-betis-sevilla
Total,50.0,2018,real-betis-sevilla
Gardien,6.0,2019,real-betis-sevilla
Défense,18.0,2019,real-betis-sevilla
Milieu,32.0,2019,real-betis-sevilla
Attaquant,16.0,2019,real-betis-sevilla
Total,32.0,2019,real-betis-sevilla
Gardien,4.0,2020,real-betis-sevilla
Défense,25.0,2020,real-betis-sevilla
Milieu,25.0,2020,real-betis-sevilla
Attaquant,10.0,2020,real-betis-sevilla
Total,25.0,2020,real-betis-sevilla
Gardien,0.4,2014,ud-las-palmas
Défense,1.0,2014,ud-las-palmas
Milieu,3.5,2014,ud-las-palmas
Attaquant,1.8,2014,ud-las-palmas
Total,3.5,2014,ud-las-palmas
