id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
2195,Mehdi Lacen,30,2601,2,0.6226,2,0.7796,17,26,7,0,M S,Getafe,2,0.6226,6.3095,5.3292,2014
2197,Pedro León,25,1468,2,3.8522,5,2.9139,45,28,1,0,M S,Getafe,2,3.8522,5.8225,1.8321,2014
2199,Pablo Sarabia,35,2607,2,3.6836,5,7.4292,45,69,10,0,F M S,Getafe,2,3.6836,10.1255,3.7394,2014
2230,David Zurutuza,16,996,2,1.2347,0,0.5349,7,8,2,0,M S,Real Sociedad,2,1.2347,2.9125,1.8618,2014
2257,Marcelo,34,2930,2,2.2605,7,6.2649,25,50,9,0,D S,Real Madrid,2,2.2605,25.7397,20.0335,2014
2258,Pepe,27,2223,2,0.5334,2,1.9453,12,12,4,0,D S,Real Madrid,2,0.5334,10.6078,9.7441,2014
2269,Koke,34,2885,2,2.9956,10,7.1351,44,65,9,0,M S,Atletico Madrid,2,2.9956,9.6294,6.6766,2014
2286,Pablo Hernández,29,1341,2,2.8674,1,1.1725,26,15,5,0,F M S,Celta Vigo,2,2.8674,6.2915,3.6641,2014
2290,Iago Aspas,16,438,2,2.6358,1,2.9644,15,13,2,0,F M S,Sevilla,2,2.6358,5.4953,1.6002,2014
2302,Bruno,24,2085,2,2.1913,1,1.8785,23,19,3,0,M S,Villarreal,1,1.448,9.1875,7.9078,2014
2307,Jonathan dos Santos,28,1627,2,1.0152,1,1.9366,15,26,5,0,M S,Villarreal,2,1.0152,8.3219,6.3967,2014
2308,Denis Suárez,31,1606,2,3.6535,4,3.6651,32,29,2,0,M S,Sevilla,2,3.6535,8.5634,3.4355,2014
2333,Raúl Albentosa,17,1530,2,1.5109,2,0.9489,9,4,5,0,D,Eibar,2,1.5109,0.8894,0.6702,2014
2336,Ignacio Camacho,25,2207,2,1.3098,2,0.5933,19,13,11,0,M,Malaga,2,1.3098,5.0669,3.9916,2014
2369,Toni Kroos,36,3066,2,2.056,7,4.5541,34,71,6,0,M,Real Madrid,2,2.056,22.0094,19.4321,2014
2390,Víctor Camarasa,24,1808,2,0.9666,1,0.6047,20,9,6,0,D M S,Levante,2,0.9666,4.3452,3.1909,2014
2394,Etxeita,24,1970,2,1.9674,0,0.069,7,3,5,1,D S,Athletic Club,2,1.9674,1.6887,1.6197,2014
2397,Beñat,28,1713,2,0.8584,2,2.8112,25,34,4,0,M S,Athletic Club,2,0.8584,5.062,3.9262,2014
2398,Iturraspe,25,1811,2,0.6339,0,1.1767,11,10,6,0,M S,Athletic Club,2,0.6339,3.7604,2.4982,2014
2414,Grzegorz Krychowiak,32,2718,2,2.09,1,1.0514,34,5,13,1,M S,Sevilla,2,2.09,9.0051,8.3903,2014
2486,Alberto Lopo,30,2676,2,0.6389,0,0.3005,10,2,14,1,D,Deportivo La Coruna,2,0.6389,1.7877,1.6409,2014
2488,Raúl Baena,28,2347,2,1.4993,0,0.1808,16,5,13,1,M,Rayo Vallecano,2,1.4993,5.052,4.3027,2014
2537,Sandro Ramírez,7,142,2,1.8571,0,0.0,8,0,0,0,S,Barcelona,2,1.8571,3.0349,1.2844,2014
2573,Ángel Lafita,15,1076,2,2.2239,1,0.3059,34,4,3,0,F M S,Getafe,2,2.2239,3.0206,1.2627,2014
2590,Haris Medunjanin,24,1494,2,2.5884,0,1.1361,28,18,4,0,M S,Deportivo La Coruna,1,1.1019,2.348,1.8366,2014
2655,Alfred Finnbogason,25,779,2,2.2577,1,0.7208,14,8,3,0,F S,Real Sociedad,2,2.2577,3.6719,1.0592,2014
4036,José Rodríguez,25,1500,2,2.3203,1,0.8779,24,13,6,0,M S,Deportivo La Coruna,2,2.3203,5.4421,2.4929,2014
4042,Míchel Macedo,14,1205,2,1.6783,0,0.7831,14,7,1,2,D S,Almeria,2,1.6783,2.1067,0.9182,2014
4050,Jonathan,27,1552,2,3.3005,1,2.8075,36,21,3,0,F M S,Almeria,2,3.3005,5.8992,2.1854,2014
4081,Javier Espinosa,21,1006,2,1.8661,0,2.0052,14,19,4,0,M S,"Almeria,Villarreal",2,1.8661,4.763,2.1059,2014
4086,Fredy Hinestroza,33,1837,2,2.995,2,1.3241,34,14,6,0,F M S,Getafe,2,2.995,4.902,2.4326,2014
4093,Xavi,31,1778,2,2.169,8,6.0425,28,53,1,0,M S,Barcelona,2,2.169,20.905,16.4793,2014
4111,Rodrigues,31,1556,2,1.9111,1,1.9545,32,13,6,1,M S,Elche,2,1.9111,4.3137,0.755,2014
4130,Raúl Navas,29,2459,2,0.6925,0,0.1429,13,3,7,2,D S,Eibar,2,0.6925,1.3999,1.3404,2014
59,Emiliano Insúa,24,1790,1,0.8059,2,0.9285,16,19,7,0,D S,Rayo Vallecano,1,0.8059,3.6793,2.4419,2014
506,Joel Campbell,16,1213,1,1.9217,0,2.6096,24,23,1,0,F M,Villarreal,1,1.9217,5.4739,2.0946,2014
565,Nyom,34,2990,1,0.7184,0,1.7563,11,20,9,0,D,Granada,1,0.7184,5.3387,3.3028,2014
576,Mario Suárez,20,1126,1,1.5392,0,0.3448,13,8,9,0,M S,Atletico Madrid,1,1.5392,1.6738,1.2201,2014
591,Gerard Deulofeu,17,795,1,2.388,5,2.1214,16,15,0,0,F M S,Sevilla,1,2.388,4.2485,0.8165,2014
670,Carles Gil,8,261,1,0.5365,1,0.6169,3,8,0,0,M S,Valencia,1,0.5365,1.2408,0.3087,2014
1108,Lucas Orban,22,880,1,0.8405,1,0.2428,1,3,4,0,D S,Valencia,1,0.8405,1.8537,1.7806,2014
1145,Rodrigo de Paul,25,711,1,1.6856,4,3.178,23,17,3,1,F M S,Valencia,1,1.6856,6.1328,2.5259,2014
1704,Álvaro Arbeloa,22,1104,1,1.9595,5,2.4808,3,19,7,0,D S,Real Madrid,1,1.9595,9.7376,7.4225,2014
1706,Antonio Barragán,34,2846,1,0.5259,2,1.1269,5,12,8,0,D M S,Valencia,1,0.5259,8.2584,7.0972,2014
