Position,Valeur maximum,Years,Crew
Attaquant,5.5,2019,queens-park-rangers
Total,9.0,2019,queens-park-rangers
Gardien,0.8,2020,queens-park-rangers
Défense,2.5,2020,queens-park-rangers
Milieu,4.0,2020,queens-park-rangers
Attaquant,3.5,2020,queens-park-rangers
Total,4.0,2020,queens-park-rangers
Gardien,0.75,2014,fc-watford
Défense,3.0,2014,fc-watford
Milieu,2.0,2014,fc-watford
Attaquant,5.0,2014,fc-watford
Total,5.0,2014,fc-watford
Gardien,4.5,2015,fc-watford
Défense,7.0,2015,fc-watford
Milieu,9.0,2015,fc-watford
Attaquant,12.0,2015,fc-watford
Total,12.0,2015,fc-watford
Gardien,3.0,2016,fc-watford
Défense,7.0,2016,fc-watford
Milieu,15.0,2016,fc-watford
Attaquant,15.0,2016,fc-watford
Total,15.0,2016,fc-watford
Gardien,3.0,2017,fc-watford
Défense,7.0,2017,fc-watford
Milieu,15.0,2017,fc-watford
Attaquant,25.0,2017,fc-watford
Total,25.0,2017,fc-watford
Gardien,3.0,2018,fc-watford
Défense,8.0,2018,fc-watford
Milieu,25.0,2018,fc-watford
Attaquant,25.0,2018,fc-watford
Total,25.0,2018,fc-watford
Gardien,1.2,2019,fc-watford
Défense,6.5,2019,fc-watford
Milieu,20.0,2019,fc-watford
Attaquant,24.5,2019,fc-watford
Total,24.5,2019,fc-watford
Gardien,0.8,2020,fc-watford
Défense,5.0,2020,fc-watford
Milieu,7.0,2020,fc-watford
Attaquant,20.0,2020,fc-watford
Total,20.0,2020,fc-watford
Gardien,1.0,2014,afc-bournemouth
Défense,1.75,2014,afc-bournemouth
Milieu,1.25,2014,afc-bournemouth
Attaquant,3.0,2014,afc-bournemouth
Total,3.0,2014,afc-bournemouth
Gardien,1.0,2015,afc-bournemouth
Défense,6.0,2015,afc-bournemouth
Milieu,2.0,2015,afc-bournemouth
