Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Total,"26,53",49.78,1.24,2015,chievo verona
Gardien,"26,20",1.48,0.295,2016,chievo verona
Défense,"27,33",7.6,0.507,2016,chievo verona
Milieu de terrain,"23,62",22.83,1.76,2016,chievo verona
Attaquant,"24,18",13.98,1.27,2016,chievo verona
Total,"25,32",45.88,1.04,2016,chievo verona
Gardien,"25,00",1.28,0.319,2017,chievo verona
Défense,"28,77",12.7,0.977,2017,chievo verona
Milieu de terrain,"24,91",22.4,2.04,2017,chievo verona
Attaquant,"25,38",18.85,2.36,2017,chievo verona
Total,"26,42",55.23,1.53,2017,chievo verona
Gardien,"22,00",2.0,0.25,2018,chievo verona
Défense,"24,65",21.58,0.83,2018,chievo verona
Milieu de terrain,"23,32",19.2,1.01,2018,chievo verona
Attaquant,"23,33",11.93,0.795,2018,chievo verona
Total,"23,68",54.7,0.804,2018,chievo verona
Gardien,"23,40",1.6,0.32,2019,chievo verona
Défense,"25,20",3.45,0.23,2019,chievo verona
Milieu de terrain,"22,94",7.83,0.489,2019,chievo verona
Attaquant,"23,58",10.8,0.9,2019,chievo verona
Total,"23,85",23.68,0.493,2019,chievo verona
Gardien,"23,00",2.8,0.7,2020,chievo verona
Défense,"23,57",3.85,0.275,2020,chievo verona
Milieu de terrain,"22,92",7.4,0.617,2020,chievo verona
Attaquant,"23,57",5.9,0.421,2020,chievo verona
Total,"23,34",19.95,0.453,2020,chievo verona
Gardien,"24,40",3.9,0.78,2014, empoli
Défense,"21,07",23.0,1.53,2014, empoli
Milieu de terrain,"24,00",21.1,1.92,2014, empoli
Attaquant,"23,44",6.03,0.669,2014, empoli
Total,"22,83",54.03,1.35,2014, empoli
Gardien,"24,00",2.93,0.585,2015, empoli
Défense,"24,58",20.08,1.67,2015, empoli
Milieu de terrain,"21,47",42.95,2.86,2015, empoli
Attaquant,"23,67",8.65,1.44,2015, empoli
Total,"23,13",74.6,1.96,2015, empoli
Gardien,"27,00",7.63,1.91,2016, empoli
Défense,"23,29",11.0,0.786,2016, empoli
Milieu de terrain,"21,56",30.05,1.88,2016, empoli
Attaquant,"25,88",6.85,0.856,2016, empoli
Total,"23,48",55.53,1.32,2016, empoli
Gardien,"21,17",2.83,0.471,2017, empoli
Défense,"22,74",12.48,0.657,2017, empoli
Milieu de terrain,"23,18",17.55,1.6,2017, empoli
Attaquant,"22,78",7.7,0.856,2017, empoli
Total,"22,64",40.55,0.901,2017, empoli
