Position,Valeur maximum,Years,Crew
Gardien,4.8,2019,hellas-verona
Défense,22.5,2019,hellas-verona
Milieu,14.5,2019,hellas-verona
Attaquant,8.0,2019,hellas-verona
Total,22.5,2019,hellas-verona
Gardien,9.0,2020,hellas-verona
Défense,10.0,2020,hellas-verona
Milieu,15.0,2020,hellas-verona
Attaquant,8.5,2020,hellas-verona
Total,15.0,2020,hellas-verona
Gardien,8.0,2014,chievo-verona
Défense,4.2,2014,chievo-verona
Milieu,4.0,2014,chievo-verona
Attaquant,6.0,2014,chievo-verona
Total,8.0,2014,chievo-verona
Gardien,0.4,2015,chievo-verona
Défense,2.5,2015,chievo-verona
Milieu,5.5,2015,chievo-verona
Attaquant,6.0,2015,chievo-verona
Total,6.0,2015,chievo-verona
Gardien,0.8,2016,chievo-verona
Défense,2.5,2016,chievo-verona
Milieu,7.5,2016,chievo-verona
Attaquant,4.5,2016,chievo-verona
Total,7.5,2016,chievo-verona
Gardien,0.8,2017,chievo-verona
Défense,3.5,2017,chievo-verona
Milieu,7.0,2017,chievo-verona
Attaquant,10.0,2017,chievo-verona
Total,10.0,2017,chievo-verona
Gardien,1.0,2018,chievo-verona
Défense,5.0,2018,chievo-verona
Milieu,4.5,2018,chievo-verona
Attaquant,4.0,2018,chievo-verona
Total,5.0,2018,chievo-verona
Gardien,0.9,2019,chievo-verona
Défense,0.675,2019,chievo-verona
Milieu,0.95,2019,chievo-verona
Attaquant,3.7,2019,chievo-verona
Total,3.7,2019,chievo-verona
Gardien,2.3,2020,chievo-verona
Défense,0.8,2020,chievo-verona
Milieu,1.8,2020,chievo-verona
Attaquant,0.8,2020,chievo-verona
Total,2.3,2020,chievo-verona
Gardien,3.0,2014,fc-empoli
Défense,7.5,2014,fc-empoli
Milieu,6.0,2014,fc-empoli
Attaquant,1.5,2014,fc-empoli
Total,7.5,2014,fc-empoli
Gardien,2.5,2015,fc-empoli
Défense,6.0,2015,fc-empoli
Milieu,15.0,2015,fc-empoli
Attaquant,3.0,2015,fc-empoli
Total,15.0,2015,fc-empoli
Gardien,7.0,2016,fc-empoli
Défense,2.0,2016,fc-empoli
Milieu,11.0,2016,fc-empoli
Attaquant,1.3,2016,fc-empoli
Total,11.0,2016,fc-empoli
Gardien,1.5,2017,fc-empoli
Défense,2.0,2017,fc-empoli
Milieu,4.5,2017,fc-empoli
Attaquant,2.5,2017,fc-empoli
Total,4.5,2017,fc-empoli
Gardien,10.0,2018,fc-empoli
Défense,9.0,2018,fc-empoli
Milieu,14.0,2018,fc-empoli
Attaquant,6.0,2018,fc-empoli
Total,14.0,2018,fc-empoli
Gardien,0.8,2019,fc-empoli
Défense,2.0,2019,fc-empoli
Milieu,3.7,2019,fc-empoli
Attaquant,3.8,2019,fc-empoli
Total,3.8,2019,fc-empoli
Gardien,2.5,2020,fc-empoli
Défense,2.5,2020,fc-empoli
Milieu,9.0,2020,fc-empoli
Attaquant,4.0,2020,fc-empoli
Total,9.0,2020,fc-empoli
Gardien,6.0,2014,udinese-calcio
Défense,6.0,2014,udinese-calcio
Milieu,7.5,2014,udinese-calcio
Attaquant,10.0,2014,udinese-calcio
Total,10.0,2014,udinese-calcio
Gardien,5.0,2015,udinese-calcio
Défense,6.5,2015,udinese-calcio
Milieu,6.5,2015,udinese-calcio
Attaquant,7.5,2015,udinese-calcio
Total,7.5,2015,udinese-calcio
Gardien,4.0,2016,udinese-calcio
Défense,9.0,2016,udinese-calcio
Milieu,7.5,2016,udinese-calcio
Attaquant,8.5,2016,udinese-calcio
Total,9.0,2016,udinese-calcio
Gardien,3.0,2017,udinese-calcio
Défense,8.5,2017,udinese-calcio
Milieu,14.0,2017,udinese-calcio
Attaquant,7.5,2017,udinese-calcio
Total,15.0,2017,udinese-calcio
Gardien,25.0,2018,udinese-calcio
Défense,6.0,2018,udinese-calcio
Milieu,25.0,2018,udinese-calcio
Attaquant,10.0,2018,udinese-calcio
Total,25.0,2018,udinese-calcio
Gardien,12.0,2019,udinese-calcio
Défense,4.8,2019,udinese-calcio
Milieu,20.0,2019,udinese-calcio
Attaquant,6.5,2019,udinese-calcio
Total,20.0,2019,udinese-calcio
Gardien,20.0,2020,udinese-calcio
Défense,7.0,2020,udinese-calcio
Milieu,38.0,2020,udinese-calcio
Attaquant,10.0,2020,udinese-calcio
Total,38.0,2020,udinese-calcio
Gardien,7.0,2014,atalanta-bergamo
Défense,4.5,2014,atalanta-bergamo
Milieu,13.0,2014,atalanta-bergamo
Attaquant,3.0,2014,atalanta-bergamo
Total,13.0,2014,atalanta-bergamo
Gardien,8.0,2015,atalanta-bergamo
Défense,5.0,2015,atalanta-bergamo
Milieu,5.0,2015,atalanta-bergamo
Attaquant,2.5,2015,atalanta-bergamo
Total,8.0,2015,atalanta-bergamo
Gardien,6.0,2016,atalanta-bergamo
Défense,15.0,2016,atalanta-bergamo
Milieu,20.0,2016,atalanta-bergamo
Attaquant,7.0,2016,atalanta-bergamo
Total,20.0,2016,atalanta-bergamo
Gardien,7.0,2017,atalanta-bergamo
Défense,25.0,2017,atalanta-bergamo
Milieu,25.0,2017,atalanta-bergamo
Attaquant,9.0,2017,atalanta-bergamo
Total,25.0,2017,atalanta-bergamo
Gardien,6.0,2018,atalanta-bergamo
Défense,22.0,2018,atalanta-bergamo
Milieu,33.0,2018,atalanta-bergamo
Attaquant,40.0,2018,atalanta-bergamo
Total,40.0,2018,atalanta-bergamo
Gardien,13.0,2019,atalanta-bergamo
Défense,20.0,2019,atalanta-bergamo
Milieu,20.0,2019,atalanta-bergamo
Attaquant,36.0,2019,atalanta-bergamo
Total,36.0,2019,atalanta-bergamo
Gardien,17.0,2020,atalanta-bergamo
Défense,35.0,2020,atalanta-bergamo
Milieu,30.0,2020,atalanta-bergamo
Attaquant,33.0,2020,atalanta-bergamo
