Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Total,"25,67","51,90","1,73",2017,ea guingamp
Gardien,"26,00","4,05","1,01",2018,ea guingamp
Défense,"24,31","22,25","1,71",2018,ea guingamp
Milieu de terrain,"23,20","15,60","1,56",2018,ea guingamp
Attaquant,"24,30","28,75","2,88",2018,ea guingamp
Total,"24,19","70,65","1,91",2018,ea guingamp
Gardien,"22,33","1,68",558 K €,2019,ea guingamp
Défense,"24,07","9,70",693 K €,2019,ea guingamp
Milieu de terrain,"24,46","18,93","1,46",2019,ea guingamp
Attaquant,"21,89","6,65",739 K €,2019,ea guingamp
Total,"23,56","36,95",947 K €,2019,ea guingamp
Gardien,"24,67","1,25",417 K €,2020,ea guingamp
Défense,"24,18","8,95",814 K €,2020,ea guingamp
Milieu de terrain,"25,50","6,15",513 K €,2020,ea guingamp
Attaquant,"24,67","7,10",789 K €,2020,ea guingamp
Total,"24,80","23,45",670 K €,2020,ea guingamp
Gardien,"27,33","1,45",483 K €,2014,sm caen
Défense,"27,56","8,55",950 K €,2014,sm caen
Milieu de terrain,"26,29","8,90","1,27",2014,sm caen
Attaquant,"23,88","13,50","1,69",2014,sm caen
Total,"26,11","32,40","1,20",2014,sm caen
Gardien,"24,67",900 K €,300 K €,2015,sm caen
Défense,"26,22","13,55","1,51",2015,sm caen
Milieu de terrain,"24,30","8,90",890 K €,2015,sm caen
Attaquant,"23,00","13,45","1,68",2015,sm caen
Total,"24,57","36,80","1,23",2015,sm caen
Gardien,"26,00","1,25",313 K €,2016,sm caen
Défense,"25,83","13,15","1,10",2016,sm caen
Milieu de terrain,"25,82","7,65",695 K €,2016,sm caen
Attaquant,"22,89","14,60","1,62",2016,sm caen
Total,"25,11","36,65","1,02",2016,sm caen
Gardien,"29,33","1,35",450 K €,2017,sm caen
Défense,"25,50","26,80","2,68",2017,sm caen
Milieu de terrain,"23,58","14,95","1,25",2017,sm caen
Attaquant,"24,00","17,00","2,13",2017,sm caen
Total,"24,79","60,10","1,82",2017,sm caen
Gardien,"23,25","4,95","1,24",2018,sm caen
Défense,"24,91","26,65","2,42",2018,sm caen
Milieu de terrain,"23,50","19,35","1,61",2018,sm caen
Attaquant,"23,33","16,60","1,38",2018,sm caen
Total,"23,82","67,55","1,73",2018,sm caen
